label,phase,N,J1,J2,J3,E0,E0_per_N,chi,FQ
D_t000,,16,1.0,0.0,0.0,-5.999999999999993,-0.37499999999999956,2,2.0
DC_t025,,16,1.0,0.25,0.0,-6.024917217635378,-0.3765573261022111,4,2.1280527475723594
DC_t050,,16,1.0,0.5,0.0,-6.105551275463987,-0.3815969547164992,4,2.2578336603753755
DC_t075,,16,1.0,0.75,0.0,-6.249999999999998,-0.3906249999999999,4,2.3809523809523787
C_t100,,16,1.0,1.0,0.0,-6.464101615137752,-0.4040063509461095,4,2.4880338717125916
CU_t025,,16,1.0,1.0,0.25,-6.486502779831692,-0.40540642373948077,16,2.7204925535508586
CU_t050,,16,1.0,1.0,0.5,-6.56077871969528,-0.410048669980955,20,3.0081027993715526
CU_t075,,16,1.0,1.0,0.75,-6.698392265508362,-0.41864951659427263,27,3.3601132475491875
U_t100,,16,1.0,1.0,1.0,-6.911737143342012,-0.4319835714588757,36,3.7565127814181345
UD_t075,,16,1.0,0.75,0.75,-6.459603470539138,-0.4037252169086961,21,3.0344812383944384
UD_t050,,16,1.0,0.5,0.5,-6.187938869946549,-0.38674617937165934,16,2.570524845278144
UD_t025,,16,1.0,0.25,0.25,-6.043756584067385,-0.37773478650421155,8,2.2466774366039064
D_close_t000,,16,1.0,0.0,0.0,-5.999999999999993,-0.37499999999999956,2,2.0
D_t000,,32,1.0,0.0,0.0,-11.999999999999968,-0.374999999999999,2,2.0
DC_t025,,32,1.0,0.25,0.0,-12.049834435270744,-0.37655732610221077,4,2.128052747572362
DC_t050,,32,1.0,0.5,0.0,-12.21110255092799,-0.3815969547164997,4,2.257833660375381
DC_t075,,32,1.0,0.75,0.0,-12.499999999999968,-0.390624999999999,4,2.380952380952382
C_t100,,32,1.0,1.0,0.0,-12.928203230275496,-0.40400635094610926,4,2.488033871712586
CU_t025,,32,1.0,1.0,0.25,-12.980491619866406,-0.4056403631208252,16,2.763953731010907
CU_t050,,32,1.0,1.0,0.5,-13.15424780579783,-0.4110702439311822,21,3.127161071466365
CU_t075,,32,1.0,1.0,0.75,-13.47876731538072,-0.4212114786056475,35,3.64901719172231
U_t100,,32,1.0,1.0,1.0,-13.997315609968172,-0.4374161128115054,49,4.517267734553193
UD_t075,,32,1.0,0.75,0.75,-12.990236954320824,-0.40594490482252577,23,3.1935118589613514
UD_t050,,32,1.0,0.5,0.5,-12.403388694721727,-0.38760589671005397,16,2.62824226783155
UD_t025,,32,1.0,0.25,0.25,-12.093793376388934,-0.3779310430121542,8,2.266796857500771
D_close_t000,,32,1.0,0.0,0.0,-11.999999999999968,-0.374999999999999,2,2.0
D_t000,,64,1.0,0.0,0.0,-23.999999999999883,-0.37499999999999817,2,2.0
DC_t025,,64,1.0,0.25,0.0,-24.099668870541496,-0.3765573261022109,4,2.1280527475723643
DC_t050,,64,1.0,0.5,0.0,-24.42220510185591,-0.38159695471649857,4,2.25783366037538
DC_t075,,64,1.0,0.75,0.0,-24.999999999999876,-0.39062499999999806,4,2.3809523809523765
C_t100,,64,1.0,1.0,0.0,-25.85640646055102,-0.4040063509461097,4,2.488033871712585
CU_t025,,64,1.0,1.0,0.25,-25.96846929996179,-0.40575733281190296,16,2.7856870888686482
CU_t050,,64,1.0,1.0,0.5,-26.341186099288326,-0.4115810328013801,21,3.1870191144291464
CU_t075,,64,1.0,1.0,0.75,-27.039554650520124,-0.42249304141437694,37,3.805810345832699
U_t100,,64,1.0,1.0,1.0,-28.17542483965738,-0.4402410131196466,82,5.3500591951222285
UD_t075,,64,1.0,0.75,0.75,-26.051504586308926,-0.407054759161077,23,3.273859783001
UD_t050,,64,1.0,0.5,0.5,-24.834288344306586,-0.3880357553797904,16,2.6571034062412586
UD_t025,,64,1.0,0.25,0.25,-24.19386696103201,-0.3780291712661252,8,2.2768565686983937
D_close_t000,,64,1.0,0.0,0.0,-23.999999999999883,-0.37499999999999817,2,2.0
